id;converter_code;description;bean_name
1;Creative Generic Wooden Ball frame;Incredible Frozen Table;Gorgeous Fresh Tuna
2;quantify paradigms Bacon;synthesize;vertical Money Market Account
3;Berkshire;open system Cuban Peso Peso Convertible Forward;monetize Front-line
4;Auto Loan Account JBOD Hat;PNG quantify cross-platform;deposit Solutions
5;local input Personal Loan Account;Reactive needs-based;SSL
6;Practical;homogeneous sexy;Licensed Legacy
7;success;withdrawal Quality Mobility;parse
8;Peru input;cross-media XML copy;Personal Loan Account Port
9;Product New Jersey;dynamic;value-added world-class
10;Executive Illinois;North Korean Won Balanced;B2C Quality envisioneer
