id;rule_code;description;mode
1;Personal Loan Account Bolivar Fuerte Surinam Dollar;Djibouti deposit CSS;FIRST_ERROR
2;override;clear-thinking Baby;ALL_VALIDATION
3;robust;Intelligent Fresh Shirt;ALL_VALIDATION
4;Street core Practical Frozen Sausages;architectures Manager Rapids;ALL_VALIDATION
5;pink streamline PNG;Belize parse;FIRST_ERROR
6;cross-platform Bahamas;grey;FIRST_ERROR
7;composite Corporate Soap;indigo Burundi Sausages;ALL_VALIDATION
8;methodologies Checking Account;Missouri Well;ALL_VALIDATION
9;Shoes;Beauty Falkland Islands (Malvinas) Unbranded Cotton Bacon;FIRST_ERROR
10;system mission-critical South Dakota;hard drive Alabama;FIRST_ERROR
